ProductID,ProductNumber,Name,Color,UnitPrice,CostPerUnit
707,HL-U509-R,"Sport-100 Helmet, Red",Red,$15.75 ,11.5
708,HL-U509,"Sport-100 Helmet, Black",Black,$15.75 ,12.76
709,SO-B909-M,"Mountain Bike Socks, M",White,$4.75 ,4.18
710,SO-B909-L,"Mountain Bike Socks, L",White,$5.70 ,4.05
711,HL-U509-B,"Sport-100 Helmet, Blue",Blue,$15.75 ,13.7
712,CA-1098,AWC Logo Cap,Multi,$4.32 ,3.33
713,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Multi,$49.99 ,38.49
714,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Multi,$27.49 ,24.47
715,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Multi,$24.03 ,20.19
716,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Multi,$27.88 ,21.47
717,FR-R92R-62,"HL Road Frame - Red, 62",Red,$758.08 ,682.27
718,FR-R92R-44,"HL Road Frame - Red, 44",Red,$758.08 ,538.24
719,FR-R92R-48,"HL Road Frame - Red, 48",Red,$780.82 ,609.04
722,FR-R38B-58,"LL Road Frame - Black, 58",Black,$178.58 ,158.94
723,FR-R38B-60,"LL Road Frame - Black, 60",Black,$178.58 ,148.22
725,FR-R38R-44,"LL Road Frame - Red, 44",Red,$183.94 ,154.51
726,FR-R38R-48,"LL Road Frame - Red, 48",Red,$183.94 ,154.51
727,FR-R38R-52,"LL Road Frame - Red, 52",Red,$183.94 ,130.6
729,FR-R38R-60,"LL Road Frame - Red, 60",Red,$183.94 ,158.19
730,FR-R38R-62,"LL Road Frame - Red, 62",Red,$183.94 ,154.51
732,FR-R72R-48,"ML Road Frame - Red, 48",Red,$356.90 ,296.23
733,FR-R72R-52,"ML Road Frame - Red, 52",Red,$356.90 ,253.4
736,FR-R38B-44,"LL Road Frame - Black, 44",Black,$178.58 ,126.79
738,FR-R38B-52,"LL Road Frame - Black, 52",Black,$177.81 ,147.58
739,FR-M94S-42,"HL Mountain Frame - Silver, 42",Silver,$722.59 ,570.85
741,FR-M94S-52,"HL Mountain Frame - Silver, 48",Silver,$818.70 ,614.03
742,FR-M94S-46,"HL Mountain Frame - Silver, 46",Silver,$722.59 ,599.75
743,FR-M94B-42,"HL Mountain Frame - Black, 42",Black,$714.70 ,628.94
744,FR-M94B-44,"HL Mountain Frame - Black, 44",Black,$809.76 ,688.3
745,FR-M94B-48,"HL Mountain Frame - Black, 48",Black,$809.76 ,664
747,FR-M94B-38,"HL Mountain Frame - Black, 38",Black,$714.70 ,586.05
748,FR-M94S-38,"HL Mountain Frame - Silver, 38",Silver,$722.59 ,563.62
749,BK-R93R-62,"Road-150 Red, 62",Red,"$2,146.96 ",1781.98
750,BK-R93R-44,"Road-150 Red, 44",Red,"$2,146.96 ",1631.69
751,BK-R93R-48,"Road-150 Red, 48",Red,"$2,146.96 ",1910.79
752,BK-R93R-52,"Road-150 Red, 52",Red,"$2,146.96 ",1588.75
753,BK-R93R-56,"Road-150 Red, 56",Red,"$2,146.96 ",1846.39
754,BK-R68R-58,"Road-450 Red, 58",Red,$845.63 ,659.59
755,BK-R68R-60,"Road-450 Red, 60",Red,$874.79 ,682.34
756,BK-R68R-44,"Road-450 Red, 44",Red,$874.79 ,638.6
757,BK-R68R-48,"Road-450 Red, 48",Red,$874.79 ,691.08
758,BK-R68R-52,"Road-450 Red, 52",Red,$874.79 ,778.56
759,BK-R50R-58,"Road-650 Red, 58",Red,$419.46 ,335.57
760,BK-R50R-60,"Road-650 Red, 60",Red,$405.48 ,352.77
761,BK-R50R-62,"Road-650 Red, 62",Red,$419.46 ,302.01
762,BK-R50R-44,"Road-650 Red, 44",Red,$234.90 ,164.43
763,BK-R50R-48,"Road-650 Red, 48",Red,$419.46 ,343.96
764,BK-R50R-52,"Road-650 Red, 52",Red,$419.46 ,364.93
765,BK-R50B-58,"Road-650 Black, 58",Black,$419.46 ,322.98
766,BK-R50B-60,"Road-650 Black, 60",Black,$419.46 ,302.01
767,BK-R50B-62,"Road-650 Black, 62",Black,$419.46 ,302.01
768,BK-R50B-44,"Road-650 Black, 44",Black,$419.46 ,360.74
769,BK-R50B-48,"Road-650 Black, 48",Black,$419.46 ,352.35
770,BK-R50B-52,"Road-650 Black, 52",Black,$405.48 ,296
771,BK-M82S-38,"Mountain-100 Silver, 38",Silver,$850 ,748
772,BK-M82S-42,"Mountain-100 Silver, 42",Silver,$850 ,595
773,BK-M82S-44,"Mountain-100 Silver, 44",Silver,$850 ,654.5
774,BK-M82S-48,"Mountain-100 Silver, 48",Silver,$850 ,722.5
775,BK-M82B-38,"Mountain-100 Black, 38",Black,$843.75 ,691.88
776,BK-M82B-42,"Mountain-100 Black, 42",Black,$843.75 ,725.63
777,BK-M82B-44,"Mountain-100 Black, 44",Black,$843.75 ,666.56
778,BK-M82B-48,"Mountain-100 Black, 48",Black,$843.75 ,599.06
779,BK-M68S-38,"Mountain-200 Silver, 38",Silver,"$1,201.42 ",913.08
780,BK-M68S-42,"Mountain-200 Silver, 42",Silver,"$1,201.42 ",925.09
781,BK-M68S-46,"Mountain-200 Silver, 46",Silver,"$1,201.42 ",1021.21
782,BK-M68B-38,"Mountain-200 Black, 38",Black,"$1,188.48 ",855.71
783,BK-M68B-42,"Mountain-200 Black, 42",Black,"$1,127 ",935.41
784,BK-M68B-46,"Mountain-200 Black, 46",Black,"$1,188.48 ",1022.09
785,BK-M47B-38,"Mountain-300 Black, 38",Black,$626.39 ,469.79
786,BK-M47B-40,"Mountain-300 Black, 40",Black,$626.39 ,482.32
787,BK-M47B-44,"Mountain-300 Black, 44",Black,$647.99 ,466.55
788,BK-M47B-48,"Mountain-300 Black, 48",Black,$626.39 ,519.9
